Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep) 
 01/09  24:00:00,9.6,20.999999999999996,1219695.7857928767,0.0 
 01/10  01:00:00,9.4,21.0,1449494.520154342,0.0 
 01/10  02:00:00,8.2,21.000000000000004,1752341.6128410436,0.0 
 01/10  03:00:00,8.1,21.000000000000004,2075836.3754966285,0.0 
 01/10  04:00:00,7.2,21.0,2415976.771104235,0.0 
 01/10  05:00:00,7.1,21.0,2758982.459262413,0.0 
 01/10  06:00:00,7.3,21.0,3102652.263123176,0.0 
 01/10  07:00:00,7.2,21.000000000000004,3444114.002371877,0.0 
 01/10  08:00:00,7.6,21.0,3773587.0227052253,0.0 
 01/10  09:00:00,8.2,20.999999999999996,3515559.0754417935,0.0 
 01/10  10:00:00,9.5,21.0,3484973.828318024,0.0 
 01/10  11:00:00,13.3,21.00000000000001,3289258.638105344,0.0 
 01/10  12:00:00,14.7,21.0,3050340.815438102,0.0 
 01/10  13:00:00,15.2,21.000000000000004,2650681.205145789,0.0 
 01/10  14:00:00,18.7,21.000000000000004,2073266.7654703136,0.0 
 01/10  15:00:00,18.9,21.000000000000004,1514795.8983305825,0.0 
 01/10  16:00:00,17.3,21.0,1034910.2539411916,0.0 
 01/10  17:00:00,17.1,20.999999999999996,705338.0575972573,0.0 
 01/10  18:00:00,15.6,21.000000000000004,571850.3958230644,0.0 
 01/10  19:00:00,16.5,21.0,691791.3841511934,0.0 
 01/10  20:00:00,14.6,21.0,648926.4123463392,0.0 
 01/10  21:00:00,11.4,21.0,698182.0685050974,0.0 
 01/10  22:00:00,10.8,21.0,810490.334186158,0.0 
 01/10  23:00:00,10.3,21.000000000000004,1121222.559385644,0.0 
 01/10  24:00:00,10.3,21.000000000000004,1335791.1033410558,0.0 
 01/11  01:00:00,10.2,20.999999999999996,1534032.1012413737,0.0 
 01/11  02:00:00,10.2,21.0,1799420.834950743,0.0 
 01/11  03:00:00,10.2,21.000000000000004,2074739.1984080907,0.0 
 01/11  04:00:00,9.9,21.0,2349012.263240171,0.0 
 01/11  05:00:00,9.8,21.0,2618891.451523723,0.0 
 01/11  06:00:00,10.4,21.0,2870775.140381296,0.0 
 01/11  07:00:00,10.1,21.0,3116013.946897525,0.0 
 01/11  08:00:00,9.8,20.999999999999996,3341317.127852991,0.0 
 01/11  09:00:00,10.1,21.0,3007105.435872641,0.0 
 01/11  10:00:00,11.1,20.999999999999993,2939675.744775888,0.0 
 01/11  11:00:00,15.5,21.0,2749612.1747140465,0.0 
 01/11  12:00:00,17.2,21.000000000000004,2429055.557187734,0.0 
 01/11  13:00:00,17.6,21.0,1969599.8683542719,0.0 
 01/11  14:00:00,20.2,21.000000000000004,1439808.2288533517,0.0 
 01/11  15:00:00,20.3,21.000000000000004,916899.5183114108,0.0 
 01/11  16:00:00,18.4,20.999999999999996,485829.9799476449,0.0 
 01/11  17:00:00,18.3,21.0,168267.3742048282,0.0 
 01/11  18:00:00,17.3,21.0,37778.04057408484,0.0 
 01/11  19:00:00,16.1,21.0,197940.39844667658,0.0 
 01/11  20:00:00,13.4,21.000000000000004,156633.36409880721,0.0 
 01/11  21:00:00,11.3,21.0,195054.89359629556,0.0 
 01/11  22:00:00,10.9,21.0,281109.44671760657,0.0 
 01/11  23:00:00,9.5,21.0,604831.7431480128,0.0 
 01/11  24:00:00,9.3,20.999999999999996,843309.1573733705,0.0 
 01/12  01:00:00,9.5,20.999999999999996,1082986.2391275223,0.0 
 01/12  02:00:00,8.1,21.000000000000004,1367292.8052280454,0.0 
 01/12  03:00:00,7.9,21.000000000000004,1678550.0813520045,0.0 
 01/12  04:00:00,7.7,21.0,2007044.6762189127,0.0 
 01/12  05:00:00,7.4,21.0,2345838.5144734643,0.0 
 01/12  06:00:00,7.3,21.0,2682439.4499520008,0.0 
 01/12  07:00:00,7.6,21.0,3014458.788727569,0.0 
 01/12  08:00:00,8.3,21.000000000000004,3336225.2274631583,0.0 
 01/12  09:00:00,9.6,21.0,3031679.8623424782,0.0 
 01/12  10:00:00,11.6,20.999999999999996,2999107.1117442404,0.0 
 01/12  11:00:00,17.4,20.999999999999993,2788971.5088177314,0.0 
 01/12  12:00:00,18.3,21.0,2482408.611930448,0.0 
 01/12  13:00:00,18.5,21.000000000000007,2038881.4032076497,0.0 
 01/12  14:00:00,20.7,21.000000000000007,1518329.8296773697,0.0 
 01/12  15:00:00,21.3,21.0,971368.369838109,0.0 
 01/12  16:00:00,18.3,20.999999999999996,519149.585814622,0.0 
 01/12  17:00:00,18.5,20.999999999999996,195721.93088426357,0.0 
 01/12  18:00:00,17.9,21.0,40654.74185047842,0.0 
 01/12  19:00:00,17.6,21.0,186010.29325979506,0.0 
 01/12  20:00:00,16.4,20.999999999999996,122180.14274360304,0.0 
 01/12  21:00:00,14.2,21.0,135721.53587237935,0.0 
 01/12  22:00:00,14.3,20.999999999999996,183252.67639835074,0.0 
 01/12  23:00:00,13.8,20.999999999999996,416054.85828715115,0.0 
 01/12  24:00:00,13.8,20.999999999999996,556970.1241921663,0.0 
 01/13  01:00:00,13.6,21.0,694885.0717253931,0.0 
 01/13  02:00:00,12.9,21.0,872111.6366850458,0.0 
 01/13  03:00:00,13.0,21.0,1042776.8400887948,0.0 
 01/13  04:00:00,10.9,21.0,1237096.5252682026,0.0 
 01/13  05:00:00,10.5,21.0,1450611.2446261263,0.0 
 01/13  06:00:00,10.7,21.0,1671431.4524143524,0.0 
 01/13  07:00:00,10.7,20.999999999999996,1903491.7325029997,0.0 
 01/13  08:00:00,10.4,21.000000000000004,2140073.0352165885,0.0 
 01/13  09:00:00,11.3,21.0,1834714.6805915027,0.0 
