Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Total Internal Total Heating Energy [J](TimeStep),ROOM1:Space Total Internal Convective Heating Rate [W](Hourly),ROOM1:Zone People Total Heating Energy [J](Hourly),ROOM1:Zone People Total Heating Rate [W](Hourly),ROOM1:Zone Lights Total Heating Energy [J](Hourly),ROOM1:Zone Lights Total Heating Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Rate [W](Hourly),ROOM1:Zone Windows Total Heat Loss Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Energy [J](Hourly),ROOM1:Zone Windows Total Heat Loss Energy [J](Hourly),WALL_NORTH:Surface Inside Face Temperature [C](Hourly),WALL_NORTH:Surface Outside Face Temperature [C](Hourly),WALL_SOUTH:Surface Inside Face Temperature [C](Hourly),WALL_SOUTH:Surface Outside Face Temperature [C](Hourly),WALL_EAST:Surface Inside Face Temperature [C](Hourly),WALL_EAST:Surface Outside Face Temperature [C](Hourly),WALL_WEST:Surface Inside Face Temperature [C](Hourly),WALL_WEST:Surface Outside Face Temperature [C](Hourly),FLOOR:Surface Inside Face Temperature [C](Hourly),FLOOR:Surface Outside Face Temperature [C](Hourly),ROOF:Surface Inside Face Temperature [C](Hourly),ROOF:Surface Outside Face Temperature [C](Hourly),MYBINDO:Surface Inside Face Temperature [C](Hourly),MYBINDO:Surface Outside Face Temperature [C](Hourly),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Exfiltration Heat Transfer Rate [W](TimeStep),ROOM1:Zone Exhaust Air Heat Transfer Rate [W](TimeStep),Environment:Site Total Zone Exfiltration Heat Loss [J](Hourly),Environment:Site Total Zone Exhaust Air Heat Loss [J](Hourly),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep),ROOM1:Zone Air System Sensible Heating Rate [W](Hourly),ROOM1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 11/19  13:00:00,25.1,813600.0,97.6128502349758,777600.0,216.0,36000.0,10.0,1235.3874291042227,0.0,4447394.744775202,0.0,26.85481140612257,23.819629511045513,27.0435126654174,50.03310725707637,26.955027722115926,25.718835335249267,27.000913476060393,27.132577167607558,28.567898942542165,21.623964505708155,27.16970764880424,39.20073258133771,33.663644534758305,31.270452262605545,23.99999997846273,0.0,0.0,0.0,0.0,0.0,2931314.969101888,0.0,814.2541580838579 
 11/19  14:00:00,26.5,813600.0,97.61284981936866,777600.0,216.0,36000.0,10.0,1073.5318876639087,0.0,3864714.7955900715,0.0,26.83771370839009,24.563594081450667,27.068835200207943,47.50708960489461,26.932016780694923,29.780876437740826,27.006286052258897,27.11426148483971,28.314745986948108,22.45955221859252,27.206463517464076,38.55094291037927,33.175279157421755,31.24385228124015,23.999999995027856,0.0,0.0,0.0,0.0,0.0,2951154.834340647,0.0,819.7652317612908 
 11/19  15:00:00,26.6,813600.0,97.6128497213431,777600.0,216.0,36000.0,10.0,734.6626296588578,0.0,2644785.466771888,0.0,26.43492145204309,24.655666130403347,26.75070052037579,41.66776770999738,26.52710303641713,31.361585638800964,26.621717807598966,26.782733173728058,27.441690050242677,22.85473303693177,26.822607741210966,35.20166871728728,31.103583091829762,29.516363298478836,23.999999998983,0.0,0.0,0.0,0.0,0.0,2514101.4440733246,0.0,698.3615122425902 
 11/19  16:00:00,24.4,813600.0,97.61284969793816,777600.0,216.0,36000.0,10.0,519.361139054226,0.0,1869700.1005952135,0.0,25.986115643571743,23.88342984335293,26.41260704569665,35.91055592828468,26.082657469728993,30.823641186922714,26.18449419348282,25.810762064750648,26.70266809992923,22.345413567794722,26.380079000516616,32.231142721397276,29.13076584208227,27.337096660603493,23.999999999819607,0.0,0.0,0.0,0.0,0.0,2015616.7460006406,0.0,559.8935405557335 
 11/19  17:00:00,24.1,813600.0,97.61284969298748,777600.0,216.0,36000.0,10.0,351.0885910850631,0.0,1263918.9279062273,0.0,25.571793363926385,23.087906158401,26.103725636754096,31.8469942734883,25.68073808787352,28.653262923920227,25.77565543519894,24.89244485902076,26.081129782281028,22.29711653741642,25.96964993421946,28.152499060458297,27.746643448700183,25.96594103875634,23.999999999972413,0.0,0.0,0.0,0.0,0.0,1599886.2884638384,0.0,444.41285790662175 
 11/19  18:00:00,23.0,813600.0,97.61284969208324,777600.0,216.0,36000.0,10.0,0.0,27.197361527684556,0.0,97910.5014996644,24.844183771635993,21.801640874180922,25.512676674366258,29.320617348450796,24.973346877251398,24.80294733830845,25.05164726955714,23.519052316291972,24.948738804227027,21.980042199322277,25.214236967020312,22.98617909365441,23.335082760248838,21.07335216558107,23.999999999997105,0.0,0.0,0.0,0.0,0.0,976189.2761610202,0.0,271.1636878225056 
 11/19  19:00:00,22.2,295200.0,39.2042832306457,259200.0,72.0,36000.0,10.0,0.0,28.363727811937782,0.0,102109.42012297601,24.411009446465975,21.2170668400084,25.14365099978898,27.848108514630457,24.564098388293417,23.61707939545683,24.620874471755116,22.841747864106477,24.43355471925696,21.70461979351118,24.76816992932066,21.064833356820685,22.577286844956575,20.251735965667308,23.999999999999837,0.0,0.0,0.0,0.0,0.0,434241.07635576016,0.0,120.62252120993338 
 11/19  20:00:00,19.6,295200.0,39.204283230640314,259200.0,72.0,36000.0,10.0,0.0,35.41112952830965,0.0,127480.06630191475,24.165990966872215,20.28096160921648,24.932062522566024,26.078835401510435,24.340295904802268,22.200948721125936,24.376250841057633,21.74875599600483,24.171147215158587,20.910936563970193,24.515418452922848,19.654379517493812,21.7016797720824,18.8185475999112,23.999999999999993,0.0,0.0,0.0,0.0,0.0,277879.647937798,0.0,77.18879109383278 
 11/19  21:00:00,16.9,295200.0,39.20428323064,259200.0,72.0,36000.0,10.0,0.0,44.63642773496364,0.0,160691.1398458691,24.009072133207592,19.13183943698684,24.790409801996976,24.305970616772697,24.199067278591944,20.72401424484549,24.2185821089117,20.477235719183266,24.011148063816236,19.91059687339483,24.346871085508596,18.235211253222175,20.835946748855235,17.209491963171615,24.000000000000004,0.0,0.0,0.0,0.0,0.0,193421.63076746126,0.0,53.72823076873924 
 11/19  22:00:00,17.0,295200.0,39.20428323063999,259200.0,72.0,36000.0,10.0,0.0,43.44939338093507,0.0,156417.81617136626,23.89652981833248,18.76532769622842,24.678623009158393,23.584661894207503,24.09971985686271,20.188551400856866,24.1077248996616,20.041308072931844,23.90025726302036,19.619710168161056,24.220941766355182,17.48325515315682,20.802620001691935,17.21268916745032,23.999999999999996,0.0,0.0,0.0,0.0,0.0,157760.59304761686,0.0,43.82238695767135 
